,Age,Education,Status,Income,Kid,Teen,Duration,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
0,67,Graduate,Alone,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7
1,70,Graduate,Alone,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5
2,59,Graduate,Couple,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4
3,40,Graduate,Couple,26646.0,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6
4,43,Postgraduate,Couple,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5
5,57,Postgraduate,Couple,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6
6,53,Graduate,Alone,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6
7,39,Postgraduate,Couple,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8
8,50,Postgraduate,Couple,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9
9,74,Postgraduate,Couple,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20
10,41,Graduate,Couple,,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7
11,48,Undergraduate,Couple,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8
12,65,Graduate,Alone,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2
13,72,Postgraduate,Alone,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6
14,37,Graduate,Couple,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8
15,78,Postgraduate,Alone,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3
16,44,Graduate,Couple,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8
17,78,Graduate,Couple,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7
18,75,Postgraduate,Couple,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5
19,39,Undergraduate,Alone,33812.0,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6
20,42,Graduate,Couple,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8
